response_id,company_id,survey_year,quarter,country,region,industry,company_size,num_employees,annual_revenue_usd_millions,company_founding_year,company_age,company_age_group,ai_adoption_rate,ai_adoption_stage,years_using_ai,ai_primary_tool,num_ai_tools_used,ai_use_case,ai_projects_active,ai_training_hours,ai_budget_percentage,ai_maturity_score,ai_failure_rate,ai_investment_per_employee,regulatory_compliance_score,data_privacy_level,ai_ethics_committee,ai_risk_management_score,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,productivity_change_percent,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,cost_reduction_percent,innovation_score,customer_satisfaction,survey_source,data_collection_method
56128,COMP-03508,2026,Q4,New Zealand,Oceania,Logistics,SME,386,164.41,2017,9,6-15 years,36.53,partial,6,ChatGPT,3,Predictive Maintenance,3,22.58,4.99,0.211,23.87,21234.14,69,Low,No,56,25.2,5.85,10.02,5.28,3.81,14,20,22,2.25,4.16,65,6.12,LinkedIn Poll,Phone Interview
122100,COMP-07632,2023,Q4,South Africa,Africa,Agriculture,Enterprise,6830,5014.04,2008,15,6-15 years,44.87,partial,3,ChatGPT,3,Supply Chain Optimization,5,38.71,13.61,0.426,22.03,99942.75,70,Medium,Yes,59,34.53,6.11,29.39,9.27,3.81,436,344,876,-5.0,14.63,47,5.63,WEF Survey,Online Survey
86351,COMP-05397,2026,Q3,France,Europe,Retail,Startup,66,35.25,2001,25,16-30 years,47.56,partial,9,ChatGPT,3,Supply Chain Optimization,9,38.95,11.61,0.467,20.22,61997.13,82,Medium,No,66,58.79,5.78,30.08,4.54,15.58,4,4,7,10.1,6.34,54,5.78,Internal Corporate Survey,API Scrape
42834,COMP-02678,2023,Q2,South Korea,Asia,Technology,Enterprise,6285,8340.36,2009,14,6-15 years,82.95,full,6,Gemini,3,Customer Support,17,47.85,22.52,0.783,17.2,298907.07,97,High,Yes,84,96.98,5.84,38.13,12.66,27.43,513,601,707,5.79,8.76,65,6.36,McKinsey Report,Phone Interview
129791,COMP-08112,2026,Q3,South Korea,Asia,Consulting,Startup,96,39.85,2011,15,6-15 years,32.11,pilot,9,Other,3,Marketing Automation,5,31.45,8.8,0.332,19.04,36537.31,72,High,No,51,53.57,6.79,25.38,5.91,16.48,6,3,8,2.0,5.3,56,4.91,LinkedIn Poll,API Scrape
70830,COMP-04427,2026,Q2,Thailand,Asia,Agriculture,Startup,48,49.8,2015,11,6-15 years,14.24,pilot,3,Custom Internal AI,3,Customer Support,4,0.0,0.05,0.067,37.88,482.7,72,High,No,50,23.3,4.45,12.03,4.89,2.39,1,1,2,9.86,0.0,40,3.22,LinkedIn Poll,API Scrape
93589,COMP-05850,2024,Q1,Brazil,South America,Education,Startup,66,26.81,1998,26,16-30 years,48.66,partial,8,GitHub Copilot,3,Marketing Automation,4,49.23,9.65,0.4,15.35,39187.32,64,Low,No,54,34.87,5.45,19.03,7.75,16.79,3,4,8,-0.79,10.93,70,5.42,McKinsey Report,Research Compilation
7340,COMP-00459,2025,Q4,South Korea,Asia,Agriculture,Startup,51,42.78,2015,10,6-15 years,67.49,partial,7,ChatGPT,3,Predictive Maintenance,5,39.29,16.66,0.469,13.09,139766.13,73,High,No,62,38.2,5.47,43.89,9.46,20.53,4,4,6,7.68,4.65,74,5.98,Internal Corporate Survey,Online Survey
90129,COMP-05634,2023,Q1,Italy,Europe,Technology,SME,717,338.49,1999,24,16-30 years,37.1,partial,6,Gemini,4,Customer Support,12,27.98,11.56,0.471,31.48,54591.76,73,Medium,No,54,67.64,6.87,17.76,7.26,7.88,20,31,62,8.87,1.43,51,5.48,Internal Corporate Survey,Phone Interview
45708,COMP-02857,2025,Q4,South Africa,Africa,Healthcare,Startup,30,2.22,2021,4,0-5 years,39.84,partial,2,ChatGPT,3,Medical Diagnostics,5,36.06,6.84,0.325,23.28,5061.33,70,Medium,No,58,39.63,5.56,18.01,6.33,9.76,1,1,3,9.35,3.64,52,5.73,McKinsey Report,Research Compilation
39456,COMP-02466,2026,Q4,Chile,South America,Healthcare,Startup,34,36.2,2003,23,16-30 years,35.84,partial,8,ChatGPT,1,Predictive Maintenance,8,26.24,6.32,0.327,18.65,67237.83,69,High,No,49,48.77,5.02,12.16,4.61,7.87,1,2,2,12.92,3.76,45,6.01,McKinsey Report,Phone Interview
91770,COMP-05736,2025,Q2,Nigeria,Africa,Retail,SME,353,246.46,2005,20,16-30 years,36.09,partial,8,ChatGPT,2,Marketing Automation,5,30.4,5.64,0.285,27.22,39379.88,65,Medium,No,71,72.46,5.59,20.25,5.21,10.95,25,14,31,1.25,6.35,55,5.45,McKinsey Report,Phone Interview
154881,COMP-09681,2023,Q1,Malaysia,Asia,Logistics,Startup,75,21.3,2007,16,16-30 years,54.78,partial,2,ChatGPT,4,Supply Chain Optimization,5,40.49,11.42,0.404,21.9,32440.66,72,High,Yes,68,24.95,4.71,25.25,7.54,10.21,5,4,8,7.32,8.04,52,5.14,Internal Corporate Survey,API Scrape
134614,COMP-08414,2024,Q2,Poland,Europe,Agriculture,Enterprise,19857,3683.45,2011,13,6-15 years,30.84,pilot,7,Custom Internal AI,2,HR Automation,2,23.66,12.59,0.3,18.57,23346.82,74,Medium,Yes,76,39.55,6.04,24.37,7.84,10.55,1275,381,1489,0.44,0.0,47,5.05,WEF Survey,Research Compilation
51111,COMP-03195,2024,Q3,Spain,Europe,Retail,SME,387,317.51,2000,24,16-30 years,21.28,pilot,5,Gemini,2,Supply Chain Optimization,5,23.22,6.27,0.264,31.7,51433.29,78,Medium,No,53,41.84,5.44,12.95,2.9,5.0,12,12,5,6.95,0.0,40,3.8,LinkedIn Poll,Online Survey
101553,COMP-06348,2023,Q1,Brazil,South America,Agriculture,SME,968,88.71,2000,23,16-30 years,23.45,pilot,2,Gemini,3,HR Automation,1,20.99,5.71,0.18,32.83,5234.58,71,High,No,46,31.07,4.72,9.44,0.9,4.87,29,42,11,6.95,4.01,49,5.21,Internal Corporate Survey,Research Compilation
122031,COMP-07627,2026,Q3,Germany,Europe,Retail,SME,865,246.75,2013,13,6-15 years,51.24,partial,9,ChatGPT,2,Fraud Detection,2,56.01,13.58,0.448,18.68,38740.1,87,Medium,Yes,69,45.26,5.57,31.01,8.56,7.88,52,69,89,7.97,2.66,68,4.52,Internal Corporate Survey,Online Survey
62543,COMP-03909,2026,Q3,Nigeria,Africa,Agriculture,Enterprise,12236,9296.92,1993,33,30+ years,47.82,partial,4,Custom Internal AI,2,Supply Chain Optimization,4,54.36,10.66,0.435,10.37,80970.8,61,Medium,No,66,40.75,5.85,24.92,7.95,11.12,696,629,1625,6.14,0.76,60,4.51,Internal Corporate Survey,Phone Interview
142469,COMP-08905,2024,Q1,Australia,Oceania,Logistics,SME,500,250.57,2002,22,16-30 years,42.39,partial,7,Custom Internal AI,4,Predictive Maintenance,9,25.93,11.39,0.41,19.91,57089.72,73,Medium,No,62,20.36,5.65,20.69,5.71,11.72,26,25,26,9.5,0.0,60,5.92,Internal Corporate Survey,Online Survey
108196,COMP-06763,2023,Q4,Thailand,Asia,Consulting,SME,152,97.19,2009,14,6-15 years,29.28,pilot,7,ChatGPT,2,Marketing Automation,6,29.11,3.24,0.264,27.92,20690.78,54,Low,Yes,72,52.77,4.68,27.23,6.32,8.87,10,5,14,6.45,0.23,53,4.71,WEF Survey,API Scrape
70861,COMP-04429,2026,Q1,Kenya,Africa,Retail,SME,379,268.98,2006,20,16-30 years,36.12,partial,5,Custom Internal AI,4,Fraud Detection,4,36.42,10.48,0.358,29.14,74351.69,59,Medium,Yes,55,28.03,4.07,32.76,7.6,7.94,29,20,25,5.77,6.44,52,5.92,Internal Corporate Survey,API Scrape
109105,COMP-06820,2023,Q1,UK,Europe,Healthcare,Enterprise,18125,2037.23,2019,4,0-5 years,45.08,partial,2,Custom Internal AI,2,Customer Support,10,35.73,10.92,0.461,28.75,12275.83,80,High,Yes,74,37.03,5.5,27.17,5.95,8.24,1137,1069,1405,5.96,9.16,73,6.09,McKinsey Report,Research Compilation
81878,COMP-05118,2024,Q2,South Korea,Asia,Retail,Startup,71,15.73,2019,5,0-5 years,21.13,pilot,5,Claude,1,Customer Support,2,20.33,4.86,0.183,27.87,10765.48,82,Low,Yes,66,23.3,4.86,18.76,5.44,3.49,3,2,4,-0.25,5.8,49,4.45,LinkedIn Poll,Online Survey
107978,COMP-06749,2025,Q2,Netherlands,Europe,Finance,Startup,78,33.03,2004,21,16-30 years,62.98,partial,6,ChatGPT,4,Marketing Automation,11,34.26,14.98,0.526,15.2,63450.43,89,High,No,66,45.19,5.44,35.86,13.3,13.61,7,5,4,3.62,9.46,60,6.97,LinkedIn Poll,Online Survey
52276,COMP-03268,2023,Q4,Vietnam,Asia,Agriculture,SME,910,289.07,2020,3,0-5 years,50.93,partial,2,Custom Internal AI,3,Predictive Maintenance,11,46.72,6.12,0.46,21.16,19448.75,63,High,No,57,41.2,6.08,7.56,6.04,17.09,5,39,103,6.88,0.0,65,7.03,LinkedIn Poll,Research Compilation
101941,COMP-06372,2024,Q1,Indonesia,Asia,Technology,SME,609,133.84,1992,32,30+ years,59.85,partial,4,Other,3,Marketing Automation,15,40.39,18.83,0.669,16.82,41391.38,64,High,No,61,67.06,5.97,32.13,11.32,17.78,36,55,74,2.46,6.75,71,5.75,WEF Survey,API Scrape
66700,COMP-04169,2025,Q4,New Zealand,Oceania,Agriculture,SME,388,123.07,2019,6,6-15 years,31.86,pilot,5,Claude,2,Supply Chain Optimization,6,43.48,10.47,0.421,16.83,33218.39,76,Low,No,57,33.16,6.74,19.34,6.45,15.25,17,24,31,1.96,4.34,51,5.71,McKinsey Report,API Scrape
108559,COMP-06785,2026,Q3,Chile,South America,Healthcare,SME,249,126.87,2017,9,6-15 years,48.35,partial,8,Custom Internal AI,2,Customer Support,5,38.17,9.01,0.363,19.27,45921.26,72,Medium,No,64,42.0,5.16,22.96,11.26,11.81,9,14,26,14.9,0.0,43,5.34,WEF Survey,Online Survey
87325,COMP-05458,2026,Q1,Kenya,Africa,Manufacturing,Enterprise,9852,5939.93,2016,10,6-15 years,47.81,partial,7,Gemini,2,Predictive Maintenance,8,34.75,12.88,0.45,16.86,77660.42,63,Medium,No,63,42.64,5.51,19.19,5.4,20.98,423,531,969,-2.78,4.03,53,7.1,WEF Survey,Research Compilation
64255,COMP-04016,2026,Q3,Egypt,Africa,Consulting,SME,613,446.16,2009,17,16-30 years,28.81,pilot,8,Custom Internal AI,3,HR Automation,2,29.2,9.38,0.28,24.91,68301.73,76,High,No,58,53.56,4.5,12.9,3.72,2.8,13,21,26,-0.23,0.0,48,5.21,Internal Corporate Survey,API Scrape
27166,COMP-01698,2026,Q2,Germany,Europe,Consulting,SME,793,106.23,2002,24,16-30 years,42.77,partial,6,Other,3,Software Development,4,24.37,5.97,0.248,22.98,7992.69,73,Medium,No,52,52.04,7.57,23.52,8.93,13.43,36,43,45,-5.0,9.17,60,5.78,McKinsey Report,API Scrape
153570,COMP-09599,2023,Q2,Singapore,Asia,Healthcare,Startup,26,21.82,1992,31,30+ years,31.49,pilot,6,Gemini,2,Medical Diagnostics,0,32.6,11.38,0.288,31.51,95527.01,71,High,Yes,73,39.82,6.25,15.83,5.79,3.79,0,1,2,4.08,4.47,41,5.55,WEF Survey,Online Survey
66350,COMP-04147,2026,Q2,Australia,Oceania,Retail,Startup,29,1.01,2012,14,6-15 years,35.69,partial,6,ChatGPT,1,Customer Support,5,7.69,7.14,0.211,35.86,2486.05,61,Medium,No,49,48.77,6.51,25.87,4.66,0.18,2,1,1,-2.52,8.83,43,5.25,McKinsey Report,Research Compilation
81480,COMP-05093,2024,Q4,Colombia,South America,Technology,SME,352,452.96,1998,26,16-30 years,66.57,partial,4,ChatGPT,4,HR Automation,7,44.25,15.04,0.502,27.45,193595.73,59,Medium,No,62,76.54,4.6,36.57,12.01,6.04,26,26,39,8.14,8.4,54,4.73,WEF Survey,API Scrape
85287,COMP-05331,2024,Q3,Italy,Europe,Manufacturing,SME,671,185.01,2006,18,16-30 years,39.53,partial,8,Custom Internal AI,2,Customer Support,8,32.15,10.68,0.41,19.77,29434.27,69,Medium,No,67,19.35,5.23,37.38,7.83,17.28,56,31,62,4.34,9.79,72,7.22,McKinsey Report,Online Survey
62150,COMP-03885,2024,Q2,Chile,South America,Education,SME,884,233.19,2020,4,0-5 years,28.72,pilot,2,Custom Internal AI,2,Software Development,4,8.78,9.53,0.23,33.9,25133.74,68,Medium,No,44,26.23,5.98,4.17,5.0,0.0,13,34,45,1.67,0.0,47,5.51,Internal Corporate Survey,Research Compilation
96194,COMP-06013,2023,Q2,Thailand,Asia,Healthcare,Startup,58,35.64,2019,4,0-5 years,23.14,pilot,1,Claude,3,Predictive Maintenance,7,30.19,8.24,0.352,26.0,50619.06,77,High,No,48,32.75,5.28,10.83,5.45,5.0,1,1,3,6.01,5.59,52,4.81,LinkedIn Poll,Research Compilation
149180,COMP-09324,2025,Q4,Brazil,South America,Education,Enterprise,2427,2119.92,2003,22,16-30 years,63.28,partial,3,ChatGPT,4,HR Automation,12,65.52,16.84,0.697,5.54,147060.11,63,Low,No,69,50.17,6.76,31.03,10.49,14.8,141,217,346,6.98,0.0,62,6.8,McKinsey Report,Phone Interview
120360,COMP-07523,2024,Q4,New Zealand,Oceania,Finance,SME,846,318.58,2018,6,6-15 years,48.8,partial,5,Claude,2,Marketing Automation,11,38.91,13.56,0.526,20.87,51075.43,73,Medium,No,50,52.21,6.04,24.42,9.9,13.57,53,52,74,10.17,4.17,64,5.63,WEF Survey,API Scrape
15618,COMP-00977,2023,Q2,Kenya,Africa,Manufacturing,SME,163,183.38,2018,5,0-5 years,11.93,pilot,4,Claude,1,HR Automation,0,17.13,8.03,0.178,28.05,90324.12,63,Medium,No,51,13.93,5.69,17.94,9.63,0.26,7,3,9,2.09,5.88,48,4.8,LinkedIn Poll,API Scrape
70898,COMP-04432,2023,Q2,Brazil,South America,Logistics,SME,160,52.93,2009,14,6-15 years,5.51,none,0,GitHub Copilot,1,Fraud Detection,6,9.58,1.4,0.159,38.14,4630.65,78,Medium,Yes,60,0.0,5.39,18.66,4.2,4.33,6,1,8,-0.7,4.31,47,5.99,WEF Survey,Research Compilation
156872,COMP-09805,2024,Q4,USA,North America,Agriculture,SME,263,489.76,2004,20,16-30 years,48.8,partial,7,Gemini,1,Supply Chain Optimization,5,40.99,11.33,0.405,17.38,211045.42,75,Medium,No,54,24.33,5.89,31.78,7.77,11.04,17,12,23,2.91,10.91,66,6.43,Internal Corporate Survey,Phone Interview
69353,COMP-04335,2025,Q1,Singapore,Asia,Retail,Startup,41,46.59,2017,8,6-15 years,30.81,pilot,4,ChatGPT,2,Supply Chain Optimization,4,17.62,8.21,0.25,27.94,93241.24,63,Medium,No,51,34.9,5.22,18.14,5.06,8.47,2,1,1,5.24,0.0,58,4.9,McKinsey Report,Research Compilation
5622,COMP-00352,2024,Q2,Poland,Europe,Consulting,Enterprise,7807,8314.84,1999,25,16-30 years,10.06,pilot,8,Claude,1,HR Automation,0,14.32,1.85,0.084,34.97,19718.25,72,High,Yes,72,55.24,6.19,4.87,0.36,0.0,105,181,227,2.14,6.82,41,4.13,WEF Survey,Phone Interview
7452,COMP-00466,2025,Q4,Thailand,Asia,Retail,Startup,93,31.37,2010,15,6-15 years,34.12,pilot,9,ChatGPT,1,Marketing Automation,3,35.68,5.12,0.267,31.94,17259.45,52,Medium,No,54,34.66,4.37,14.44,5.04,0.0,3,5,6,3.21,5.9,44,3.43,LinkedIn Poll,Research Compilation
56996,COMP-03563,2023,Q4,Philippines,Asia,Manufacturing,Enterprise,9089,3806.91,2012,11,6-15 years,27.55,pilot,5,ChatGPT,2,HR Automation,7,21.62,6.49,0.293,31.76,27168.09,70,Medium,Yes,58,33.61,5.03,11.13,4.06,4.78,179,469,739,1.9,8.18,56,4.96,WEF Survey,Research Compilation
38174,COMP-02386,2026,Q2,Chile,South America,Technology,Startup,66,3.58,1996,30,16-30 years,58.35,partial,7,Other,2,Customer Support,2,45.55,19.88,0.488,20.9,10783.36,76,High,No,51,57.09,4.73,24.16,6.95,9.54,3,5,7,5.96,9.1,72,4.98,Internal Corporate Survey,Online Survey
2101,COMP-00132,2024,Q1,Nigeria,Africa,Agriculture,Startup,19,27.88,1999,25,16-30 years,15.29,pilot,3,ChatGPT,1,Supply Chain Optimization,3,0.0,4.97,0.116,35.46,72905.08,61,Low,Yes,54,30.82,3.73,2.06,1.66,0.0,0,0,0,10.63,0.0,61,4.84,Internal Corporate Survey,API Scrape
20986,COMP-01312,2025,Q2,USA,North America,Manufacturing,SME,191,467.11,2012,13,6-15 years,23.71,pilot,4,ChatGPT,2,Supply Chain Optimization,2,34.09,7.32,0.273,21.43,178927.69,75,High,No,55,31.42,5.81,5.11,1.61,8.0,0,8,15,11.96,6.08,59,5.95,WEF Survey,Online Survey
61360,COMP-03835,2026,Q4,Thailand,Asia,Retail,Enterprise,11412,7110.7,1998,28,16-30 years,46.35,partial,10,Gemini,4,Customer Support,4,46.04,9.01,0.379,4.53,56121.57,77,Medium,Yes,67,65.8,3.86,28.45,7.28,15.01,702,575,761,7.81,4.87,47,6.08,McKinsey Report,Online Survey
88266,COMP-05517,2025,Q2,Germany,Europe,Finance,Startup,50,22.34,2011,14,6-15 years,19.97,pilot,7,Gemini,1,Marketing Automation,5,14.64,7.4,0.243,34.26,33047.93,78,High,Yes,66,45.57,5.52,2.69,1.72,5.72,0,1,2,-3.59,4.08,40,5.24,LinkedIn Poll,Online Survey
34099,COMP-02132,2023,Q3,Canada,North America,Consulting,SME,708,141.7,2018,5,0-5 years,52.02,partial,3,Custom Internal AI,2,Software Development,11,26.0,9.16,0.414,20.98,18336.26,90,High,No,63,72.87,5.87,25.95,6.72,8.89,51,50,45,2.46,11.03,56,5.33,Internal Corporate Survey,Phone Interview
46724,COMP-02921,2023,Q4,Sweden,Europe,Logistics,SME,131,99.17,2022,1,0-5 years,38.63,partial,1,ChatGPT,3,Fraud Detection,8,39.55,7.59,0.399,22.26,57492.86,86,Low,Yes,65,39.88,4.32,18.73,6.37,12.23,6,6,14,11.89,2.0,70,5.4,Internal Corporate Survey,Phone Interview
82562,COMP-05161,2023,Q2,China,Asia,Consulting,Startup,40,44.44,2008,15,6-15 years,23.97,pilot,4,Gemini,1,Customer Support,1,19.22,8.7,0.213,32.94,96605.52,83,Medium,No,40,20.13,4.76,19.25,1.5,5.52,1,1,1,-1.0,2.65,50,4.81,LinkedIn Poll,Research Compilation
50927,COMP-03183,2026,Q3,India,Asia,Technology,Enterprise,3964,6352.94,1993,33,30+ years,61.03,partial,6,Claude,2,Software Development,12,35.75,19.26,0.606,16.13,308640.59,47,Medium,Yes,66,42.45,6.88,40.62,12.95,27.11,361,287,307,2.54,15.8,76,7.33,LinkedIn Poll,API Scrape
71952,COMP-04497,2026,Q4,Brazil,South America,Healthcare,Startup,61,8.68,2017,9,6-15 years,62.6,partial,7,Gemini,3,Medical Diagnostics,8,41.04,9.87,0.436,26.84,14049.58,71,High,No,49,61.02,5.38,29.59,9.03,8.06,3,5,5,8.88,9.32,59,4.61,McKinsey Report,Research Compilation
85391,COMP-05337,2026,Q3,Nigeria,Africa,Manufacturing,Startup,80,38.4,2020,6,6-15 years,28.11,pilot,6,Custom Internal AI,1,Supply Chain Optimization,7,12.56,2.76,0.206,31.39,13254.18,46,High,No,52,24.96,5.7,30.43,10.49,6.99,6,2,5,4.62,2.93,45,5.1,McKinsey Report,Phone Interview
97001,COMP-06063,2025,Q1,Spain,Europe,Manufacturing,Startup,24,48.64,2000,25,16-30 years,38.39,partial,5,ChatGPT,1,Supply Chain Optimization,6,13.37,6.28,0.239,22.84,127193.94,71,High,No,64,46.53,5.66,18.0,5.08,5.36,1,1,1,-4.84,5.86,60,5.57,WEF Survey,Phone Interview
5051,COMP-00316,2025,Q3,USA,North America,Agriculture,Startup,97,34.61,2014,11,6-15 years,53.02,partial,3,Claude,3,Predictive Maintenance,7,37.0,10.98,0.417,21.69,39187.04,64,Medium,Yes,61,44.49,4.37,10.54,9.16,12.86,0,6,6,4.77,4.27,69,5.34,Internal Corporate Survey,Phone Interview
113504,COMP-07094,2026,Q4,Australia,Oceania,Manufacturing,Startup,48,6.11,2015,11,6-15 years,35.75,partial,6,Gemini,2,HR Automation,4,0.38,9.75,0.198,38.3,12410.88,64,High,No,52,38.89,5.53,22.46,6.57,6.55,3,2,0,2.47,5.21,51,5.67,McKinsey Report,Phone Interview
98003,COMP-06126,2023,Q3,Australia,Oceania,Technology,Enterprise,15386,6545.48,1999,24,16-30 years,37.78,partial,5,GitHub Copilot,2,Customer Support,6,27.25,9.04,0.334,26.69,38470.09,69,Medium,Yes,60,61.68,5.87,28.92,13.47,12.64,886,604,452,7.94,10.41,53,6.02,McKinsey Report,Research Compilation
12560,COMP-00785,2026,Q4,Sweden,Europe,Retail,Startup,38,25.51,2002,24,16-30 years,22.68,pilot,6,ChatGPT,1,Fraud Detection,0,18.37,6.51,0.163,26.34,43691.73,71,Medium,Yes,59,25.83,6.74,21.96,6.08,4.24,2,1,0,-1.15,4.73,50,6.87,McKinsey Report,API Scrape
57323,COMP-03583,2025,Q3,Japan,Asia,Healthcare,Startup,77,8.66,1999,26,16-30 years,35.39,partial,7,ChatGPT,2,Predictive Maintenance,2,8.02,10.07,0.201,37.53,11324.64,79,High,No,43,54.89,6.67,16.06,3.6,3.97,3,4,0,7.65,3.14,47,4.96,WEF Survey,API Scrape
15759,COMP-00985,2026,Q3,France,Europe,Education,SME,399,86.55,1998,28,16-30 years,40.03,partial,3,Custom Internal AI,4,HR Automation,8,46.43,5.45,0.399,10.11,11822.02,67,Medium,Yes,78,48.45,7.1,9.4,3.89,10.82,11,18,50,5.98,9.22,60,5.4,LinkedIn Poll,API Scrape
81852,COMP-05116,2025,Q4,Germany,Europe,Healthcare,Startup,44,12.43,2000,25,16-30 years,34.09,pilot,3,Claude,4,HR Automation,8,21.02,4.3,0.278,29.8,12149.65,70,High,No,61,23.05,5.64,18.62,8.79,3.9,1,2,4,1.09,7.7,56,4.57,McKinsey Report,Online Survey
40035,COMP-02503,2023,Q3,Thailand,Asia,Logistics,SME,229,302.24,1995,28,16-30 years,18.95,pilot,6,Custom Internal AI,2,Supply Chain Optimization,5,13.69,6.88,0.232,36.27,90842.97,82,High,No,54,34.2,5.2,11.57,2.03,0.0,7,5,2,-4.9,5.18,54,2.41,McKinsey Report,Online Survey
77849,COMP-04866,2025,Q1,Egypt,Africa,Technology,Enterprise,15060,2715.95,2020,5,0-5 years,37.18,partial,5,Gemini,3,HR Automation,8,33.8,9.73,0.404,23.05,17540.59,72,Medium,No,60,57.14,6.23,14.31,5.28,4.58,282,671,1118,0.93,0.0,46,3.71,Internal Corporate Survey,API Scrape
11505,COMP-00720,2023,Q1,Colombia,South America,Education,Startup,53,15.21,2011,12,6-15 years,36.64,partial,5,ChatGPT,1,HR Automation,5,30.28,5.81,0.287,15.23,16662.17,60,High,Yes,65,42.05,5.46,19.49,8.41,7.45,3,3,4,-1.04,7.93,54,6.13,Internal Corporate Survey,Online Survey
70461,COMP-04404,2026,Q1,Japan,Asia,Education,Startup,25,36.18,2020,6,6-15 years,40.7,partial,2,Custom Internal AI,3,Marketing Automation,4,34.09,6.67,0.298,22.0,96479.91,60,High,No,57,48.55,5.48,30.21,4.81,6.98,1,1,2,4.23,9.34,40,4.84,McKinsey Report,Online Survey
142549,COMP-08910,2024,Q1,Germany,Europe,Education,SME,251,258.01,2008,16,16-30 years,12.9,pilot,4,Claude,1,Marketing Automation,2,33.02,6.27,0.255,28.8,64434.88,86,Medium,No,48,44.07,4.05,15.34,5.13,0.93,9,0,23,3.95,3.84,48,4.8,McKinsey Report,Research Compilation
75682,COMP-04731,2023,Q2,Japan,Asia,Manufacturing,Enterprise,9063,3410.88,2019,4,0-5 years,16.13,pilot,2,Gemini,3,Predictive Maintenance,4,25.92,6.85,0.266,22.57,25762.33,65,Low,No,56,21.71,4.58,10.91,3.19,4.3,275,156,619,5.27,8.32,40,5.21,McKinsey Report,Online Survey
147959,COMP-09248,2024,Q3,Netherlands,Europe,Manufacturing,SME,325,382.94,2021,3,0-5 years,32.49,pilot,2,GitHub Copilot,2,Customer Support,5,29.47,6.84,0.297,20.01,80600.47,69,Medium,No,61,56.92,5.25,20.66,6.17,7.0,14,13,22,-1.42,2.35,48,4.81,LinkedIn Poll,API Scrape
38355,COMP-02398,2023,Q3,South Africa,Africa,Technology,SME,159,352.94,2020,3,0-5 years,18.13,pilot,3,GitHub Copilot,3,Customer Support,4,27.5,12.37,0.346,25.85,274533.38,78,Medium,Yes,62,40.67,5.0,0.0,4.97,8.67,0,4,10,3.4,0.0,43,4.67,Internal Corporate Survey,Online Survey
33119,COMP-02070,2026,Q3,Germany,Europe,Education,Enterprise,15799,7698.48,2002,24,16-30 years,55.14,partial,9,GitHub Copilot,3,Software Development,8,43.01,10.18,0.448,20.87,49621.77,90,High,Yes,68,47.5,5.44,25.68,8.48,11.35,563,1070,1981,1.93,6.78,62,6.4,Internal Corporate Survey,API Scrape
16868,COMP-01055,2023,Q4,Chile,South America,Agriculture,Startup,39,4.93,2000,23,16-30 years,24.01,pilot,4,Claude,2,HR Automation,7,32.09,7.45,0.35,27.26,9418.97,78,High,Yes,74,44.96,3.99,13.45,6.52,6.01,1,1,2,3.52,2.32,50,5.97,Internal Corporate Survey,Research Compilation
108817,COMP-06802,2023,Q1,Sweden,Europe,Retail,Startup,34,28.83,2021,2,0-5 years,22.47,pilot,2,Claude,2,Fraud Detection,10,0.0,5.59,0.241,37.97,47397.78,83,Medium,Yes,67,45.66,5.51,18.43,6.7,4.1,1,1,0,0.42,0.0,51,4.92,WEF Survey,Online Survey
114798,COMP-07175,2026,Q2,Egypt,Africa,Finance,Startup,12,26.44,1999,27,16-30 years,41.2,partial,5,Custom Internal AI,2,Customer Support,9,29.6,6.71,0.363,29.0,147734.78,67,High,No,54,45.11,5.18,37.58,11.74,15.1,1,1,1,8.93,8.87,66,4.22,McKinsey Report,Research Compilation
154831,COMP-09677,2026,Q3,Sweden,Europe,Retail,SME,856,350.23,2001,25,16-30 years,29.14,pilot,9,ChatGPT,2,Customer Support,4,14.14,10.35,0.264,32.95,42354.96,76,High,Yes,68,43.26,6.24,17.51,4.67,6.92,40,41,51,-0.1,5.16,51,4.84,LinkedIn Poll,API Scrape
67779,COMP-04237,2023,Q3,Japan,Asia,Agriculture,Startup,19,36.2,2001,22,16-30 years,17.51,pilot,4,ChatGPT,3,Predictive Maintenance,0,13.26,5.06,0.123,28.73,96475.15,78,Medium,No,40,23.04,5.0,14.22,1.33,4.23,0,1,1,-1.03,3.65,40,5.15,Internal Corporate Survey,Online Survey
68750,COMP-04297,2026,Q2,France,Europe,Consulting,SME,800,478.74,2013,13,6-15 years,40.97,partial,3,ChatGPT,3,Customer Support,3,42.8,12.64,0.397,12.83,75647.68,73,High,No,63,50.62,6.78,22.3,6.37,8.61,39,40,118,-5.0,5.36,56,5.87,WEF Survey,Phone Interview
1198,COMP-00075,2026,Q2,Sweden,Europe,Logistics,Startup,65,26.89,1995,31,30+ years,14.58,pilot,8,Claude,1,Predictive Maintenance,0,15.39,13.32,0.242,24.46,55103.86,70,Medium,No,56,39.16,6.48,10.3,5.85,6.81,2,1,3,11.31,7.39,56,6.03,WEF Survey,Research Compilation
35112,COMP-02195,2024,Q4,USA,North America,Finance,SME,399,61.02,2022,2,0-5 years,61.68,partial,1,ChatGPT,4,Marketing Automation,11,35.76,12.59,0.5,25.01,19258.75,55,High,No,63,57.27,6.05,33.74,10.38,12.33,33,27,27,5.37,7.37,58,5.29,LinkedIn Poll,Online Survey
